,date,id,rawContent,username,likeCount,retweetCount,inReplyToUser,media,rawContent_eng
0,2022-12-30 17:45:11+00:00,1608881901749809153,"En una hora, a las 1540, última sesión del año con mi psicóloga del ex 5 ""C"". Que sea lo que Dios quiera.",CarlosMaslaton,1200,20,,,"In an hour, at 1540, last session of the year with my psychologist from the former 5 ""C"". Let it be what God wants."
1,2022-12-30 10:11:31+00:00,1608767734086762496,"Ante consultas de numerosos foristas, quiero recordarles que por default yo no celebro en particular el 31/12 al tratarse del Año Nuevo del Cristianismo Internacional. Sí adhiero y saludo, como en Navidad, a mis amigos cristianos cordialmente desde el Judaísmo Internacional.",CarlosMaslaton,478,12,,,"In response to inquiries from numerous forum members, I want to remind you that by default I do not celebrate 12/31 in particular as it is the New Year of International Christianity. I do support and greet, as at Christmas, my Christian friends cordially from International Judaism."
2,2022-12-30 10:01:52+00:00,1608765302631976963,"El triunfo electoral del PRO-Juntos por el Cambio de 2015 fue basado en un fraude propagandístico de carácter moral, no en argumentos de mejor política económica. Somos los buenos que no robamos, el país está así por los chorros peronistas. Llegó el momento de hacérselas pagar.",CarlosMaslaton,2846,434,,,"The electoral triumph of the PRO-Together for Change in 2015 was based on a propaganda fraud of a moral nature, not on arguments of better economic policy. We are the good ones who don't steal, the country is like this because of the Peronist jets. The time has come to make them pay."
3,2022-12-30 09:30:02+00:00,1608757293038055424,"No se rompan la cabeza los ""investigadores"", a propósito de D'Alessandro y el gobierno de Sombrilla. Necesariamente, y apenas por lógica política, en cada contratación municipal con terceros proveedores hay valija, y se beneficia en más o en menos toda la Sagrada Corporación.",CarlosMaslaton,446,58,,,"The ""investigators"" should not puzzle over D'Alessandro and the Sombrilla government. Necessarily, and only by political logic, in each municipal contract with third-party providers there is a bag, and the entire Sacred Corporation benefits more or less."
4,2022-12-30 00:08:48+00:00,1608616052598124544,"La potencia de este fin de año en Argentina, que sepultó las expectativas destructivas y negativas de los que solo buscan el mal del país, es de tal magnitud que solo puede compararse con el de 1973-1974 con todo al taco y con un pueblo feliz en la democracia recuperada.",CarlosMaslaton,403,26,,,"The power of this end of the year in Argentina, which buried the destructive and negative expectations of those who only seek the country's evil, is of such magnitude that it can only be compared to that of 1973-1974 with everything on the block and with a happy people in the recovered democracy."
5,2022-12-29 13:10:54+00:00,1608450485836517376,"@Pedro362735231 No puedo responder tu pregunta, porque no entiendo lo que estás diciendo.",CarlosMaslaton,14,0,,,"@Pedro362735231 I can't answer your question, because I don't understand what you're saying."
6,2022-12-29 10:51:33+00:00,1608415419232133120,"En la Argentina, el año termina mucho mejor de lo que empezó e infinitamente mejor que desde la mini-corrección de mitad de año. Los mercados volando en récord mundial de bolsas, pero más impresionante la economía real, extrema demanda laboral y de bienes y servicios. Al taco.",CarlosMaslaton,1145,84,,,"In Argentina, the year ends much better than it began and infinitely better than since the mid-year mini-correction. Markets soaring in world record stock markets, but more impressive the real economy, extreme demand for labor and goods and services. to the cue"
7,2022-12-29 04:18:56+00:00,1608316612838408192,"Mi intervención este miércoles por C5N, largo reportaje con Duggan: https://t.co/yLtypUlnPV",CarlosMaslaton,84,9,,,"My intervention this Wednesday by C5N, long report with Duggan: https://t.co/yLtypUlnPV"
8,2022-12-28 11:55:18+00:00,1608069074164097025,"Hasta el 20/1/2023 espero a que Milei se digne a aceptar las PASO. Si ese dia o antes Milei dice, voy a las PASO y acepto internas, confirmo que voy a la competencia en LLA. Sin respuesta o con respuesta negativa, el 21/1/2023 pondré en ejecución otros planes personales.",CarlosMaslaton,1987,69,,,"Until 1/20/2023 I wait for Milei to deign to accept the STEP. If that day or before Milei says, I'm going to STEP and I accept interns, I confirm that I'm going to the LLA competition. With no answer or with a negative answer, on 1/21/2023 I will implement other personal plans."
9,2022-12-28 11:40:29+00:00,1608065344345702400,"Si bien entiendo que mucha gente no tiene más remedio que cobrar, porque de algo tiene que vivir y la política legal es una actividad económicamente ruinosa, en lo personal he decidido quedar exclusivamente del lado del mostrador que paga, nunca del mostrador que cobra.",CarlosMaslaton,219,9,,,"Although I understand that many people have no choice but to collect money, because they have to live off something and legal politics is an economically ruinous activity, personally I have decided to stay exclusively on the side of the counter that pays, never the counter that collects."
10,2022-12-28 11:37:29+00:00,1608064589161275393,"A un año de iniciarse la purga stalinista dentro de La Libertad Avanza, ordenada por Javier Milei y ejecutada por la espiritista de su hermana Karina y por el procesista de Carlos Kikuchi, los resultados son nefastos: no hay armado político y lo que hay es todo trucho.",CarlosMaslaton,670,55,,,"One year after the start of the Stalinist purge within La Libertad Avanza, ordered by Javier Milei and executed by his sister Karina's spiritualist and by Carlos Kikuchi's processionist, the results are disastrous: there is no political arming and what there is is everything. trout."
11,2022-12-28 11:30:59+00:00,1608062955408457729,"Es de esperar que a Patricia Bullrich se le rajen más dirigentes y punteros. Ella no tiene plata suficiente para retener a nadie y tiene, además, una falla en su cerebro: no soporta nadie con perfil alto en su entorno entonces los margina. Ideal para Sombrilla, se lleva así todo.",CarlosMaslaton,429,29,,,"It is to be expected that Patricia Bullrich will crack more leaders and leaders. She doesn't have enough money to retain anyone and she also has a flaw in her brain: she can't stand anyone with a high profile around her so she marginalizes them. Ideal for Umbrella, she takes everything like that."
12,2022-12-28 07:06:46+00:00,1607996462498971648,"Qué raro este fin de año, no lo puedo percibir, como que no existe. Debe ser por el Mundial de Qatar, que me afectó el tiempo y el espacio, estoy perdido.",CarlosMaslaton,6420,521,,,"How strange this end of the year, I can't perceive it, like it doesn't exist. It must be because of the World Cup in Qatar, which affected me by time and space, I'm lost."
13,2022-12-27 16:22:20+00:00,1607773889312002052,Las dos opciones políticamente posibles para la Argentina 2023-2027 son: 1) País socialista del Primer Mundo con la población controlada y regulada en cada detalle estilo coronavirus 2020-2021; 2) País capitalista popular del Tercer Mundo con caos y desorden pero con libertad.,CarlosMaslaton,1217,63,,,The two politically possible options for Argentina 2023-2027 are: 1) First World socialist country with the population controlled and regulated in every detail like coronavirus 2020-2021; 2) Popular capitalist country of the Third World with chaos and disorder but with freedom.
14,2022-12-27 14:12:14+00:00,1607741148680032256,"Mi prioridad política como ciudadano para los comicios de 2023 es evitar, a cualquier precio, que Argentina se convierta en un país opresivo, regulado y socialista del Primer Mundo. Esto lamentablemente sucederá si ganan Sombrilla Larreta o Patricia Bullrich. Y sucederá rápido.",CarlosMaslaton,2951,245,,,"My political priority as a citizen for the 2023 elections is to prevent, at any cost, Argentina from becoming an oppressive, regulated and socialist country of the First World. Unfortunately this will happen if Sombrilla Larreta or Patricia Bullrich win. And it will happen fast."
15,2022-12-27 13:05:59+00:00,1607724473532436480,"El armado político en este verano 2022-2023 de Sombrilla Larreta, parece un calco del armado político de Raúl Alfonsín del verano 1982-1983. Justo hace 40 años. La consigna es: todos adentro para ganar. Debo decir que el método es políticamente eficiente.",CarlosMaslaton,468,22,,,The political setup in this summer 2022-2023 of Sombrilla Larreta seems to be a carbon copy of the political setup of Raúl Alfonsín in the summer of 1982-1983. Just 40 years ago. The watchword is: all in to win. I must say that the method is politically efficient.
16,2022-12-26 20:56:48+00:00,1607480570753449985,"Celebremos, bailemos y cantemos!
https://t.co/N6I4Ciw81J",CarlosMaslaton,188,10,,,"Let's celebrate, dance and sing!
https://t.co/N6I4Ciw81J"
